Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean 
13	27	ISSm2-Xanthob	B2_manure_a	-1	25.16061	80.46617		0.9999691	1229.426	0.7372109	1.909233	False	False	False	1.227331E-05										10	1467.898	1.413057	28.02154	5025.917	-1.421463	4.423888		
13	28	ISSm2-Xanthob	B2_manure_b	-1	25.30571	80.44385		0.9999726	946.9772	0.7337662	1.901005	False	False	False	1.178858E-05										10	1560.127	1.421785	28.17814	4771.79	-0.712328	4.058591		
13	29	ISSm2-Xanthob	B2_manure_c	-1	25.88443	80.44746		0.9999815	545.1699	0.7161645	1.930521	False	False	False	5.095936E-06										8	1478.63	1.391153	28.71652	4699.325	-0.09846098	4.178162		
13	30	ISSm2-Xanthob	P3_S5_a													NoAmplification																	
13	31	ISSm2-Xanthob	P3_S5_b													CtIsLarge, CurveFitFailed																	
13	32	ISSm2-Xanthob	P4_S9_a													CtIsLarge, CurveFitFailed																	
13	33	ISSm2-Xanthob	P4_S9_b													NoAmplification																	
13	34	ISSm2-Xanthob	P8_S2_a													NoAmplification																	
13	35	ISSm2-Xanthob	P8_S2_b													NoAmplification																	
13	36	ISEfm1-Entero	B1_manure_a													NoAmplification																	
13	37	ISEfm1-Entero	B1_manure_b													NoAmplification																	
13	38	ISEfm1-Entero	B1_manure_c													NoAmplification																	
13	39	ISEfm1-Entero	B2_manure_a	-1	27.47508	75.40733		0.9999391	2586.907	0.6638267	1.997596	False	False	False	6.818694E-07										9	1479.173	1.327924	30.2239	5228.244	-0.4879478	4.534573		
